Medicine Name,Used for ,Activity,pregnancy category,Alcohol,Rating,No of Reviews,,Medicine Name222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atorvastatin / ezetimibe,Cholesterol,1%,X(contraindicated-studies in pregnant women have demonstrated a risk to the fetus),contains alcohol,,,,atorvastatin / ezetimibe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fluvastatin,Cholesterol,1%,X(contraindicated-studies in pregnant women have demonstrated a risk to the fetus),contains alcohol,,,,fluvastatin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lescol xl,Cholesterol,1%,X(contraindicated-studies in pregnant women have demonstrated a risk to the fetus),contains alcohol,,,,Lescol XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mycophenolate mofetil,Cholesterol,1%,D(evidence of risk),not contains alcohol,,,,mycophenolate mofetil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
niacor,Cholesterol,1%,C(risk cannot be ruled out),contains alcohol,,,,Niacor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trilipix,Cholesterol,1%,C(risk cannot be ruled out),not contains alcohol,5.1,10,,Trilipix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caduet,Cholesterol,0%,X(contraindicated-studies in pregnant women have demonstrated a risk to the fetus),contains alcohol,,,,Caduet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ezetimibe / rosuvastatin,Cholesterol,0%,,contains alcohol,4,1,,ezetimibe / rosuvastatin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fibricor,Cholesterol,0%,C(risk cannot be ruled out),not contains alcohol,,,,Fibricor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inclisiran,Cholesterol,0%,,not contains alcohol,,,,inclisiran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
juxtapid,Cholesterol,0%,X(contraindicated-studies in pregnant women have demonstrated a risk to the fetus),contains alcohol,,,,Juxtapid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leqvio,Cholesterol,0%,,not contains alcohol,,,,Leqvio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lomitapide,Cholesterol,0%,X(contraindicated-studies in pregnant women have demonstrated a risk to the fetus),contains alcohol,,,,lomitapide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lypqozet,Cholesterol,0%,X(contraindicated-studies in pregnant women have demonstrated a risk to the fetus),contains alcohol,,,,Lypqozet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roszet,Cholesterol,0%,,contains alcohol,,,,Roszet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zypitamag,Cholesterol,0%,X(contraindicated-studies in pregnant women have demonstrated a risk to the fetus),contains alcohol,,,,Zypitamag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benadryl,Colds & Flu,100%,B(no risk in animal studies),contains alcohol,9.5,2,,Benadryl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diphenhydramine,Colds & Flu,59%,B(no risk in animal studies),contains alcohol,6.8,5,,diphenhydramine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vicks nyquil d cold and flu nighttime relief,Colds & Flu,47%,N,contains alcohol,8.2,5,,Vicks Nyquil D Cold and Flu Nighttime Relief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vicks nyquil cold & flu nighttime relief,Colds & Flu,46%,N,contains alcohol,,,,Vicks NyQuil Cold & Flu Nighttime Relief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chlorpheniramine,Colds & Flu,42%,B(no risk in animal studies),contains alcohol,6.7,3,,chlorpheniramine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coricidin hbp cold & flu,Colds & Flu,35%,N,contains alcohol,6.3,8,,Coricidin HBP Cold & Flu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vicks dayquil severe cold & flu,Colds & Flu,33%,N,contains alcohol,,,,Vicks DayQuil Severe Cold & Flu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benadryl allergy,Colds & Flu,29%,B(no risk in animal studies),contains alcohol,7,1,,Benadryl Allergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vicks dayquil cold & flu relief,Colds & Flu,26%,N,contains alcohol,,,,Vicks Dayquil Cold & Flu Relief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vicks nyquil severe cold & flu,Colds & Flu,22%,N,contains alcohol,,,,Vicks NyQuil Severe Cold & Flu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
promethazine dm,Colds & Flu,20%,C(risk cannot be ruled out),contains alcohol,10,1,,Promethazine DM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tylenol cold & flu severe,Colds & Flu,17%,N,contains alcohol,,,,Tylenol Cold & Flu Severe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vicks vaporub,Colds & Flu,15%,N,not contains alcohol,,,,Vicks VapoRub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coricidin hbp maximum strength flu,Colds & Flu,13%,N,contains alcohol,,,,Coricidin HBP Maximum Strength Flu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
theraflu nighttime severe cold & cough,Colds & Flu,12%,C(risk cannot be ruled out),contains alcohol,1,1,,Theraflu Nighttime Severe Cold & Cough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acetaminophen / chlorpheniramine / phenylephrine,Colds & Flu,10%,N,contains alcohol,7.3,16,,acetaminophen / chlorpheniramine / phenylephrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sudafed pe cold & cough,Colds & Flu,9%,N,contains alcohol,,,,Sudafed PE Cold & Cough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banophen,Colds & Flu,8%,B(no risk in animal studies),contains alcohol,,,,Banophen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benadryl allergy plus cold,Colds & Flu,8%,C(risk cannot be ruled out),contains alcohol,,,,Benadryl Allergy Plus Cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pseudoephedrine / triprolidine,Colds & Flu,8%,C(risk cannot be ruled out),contains alcohol,7.8,11,,pseudoephedrine / triprolidine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tussionex pennkinetic,Colds & Flu,8%,C(risk cannot be ruled out),contains alcohol,7.6,14,,Tussionex Pennkinetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chlor-trimeton,Colds & Flu,7%,B(no risk in animal studies),contains alcohol,,,,Chlor-Trimeton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diphedryl,Colds & Flu,7%,B(no risk in animal studies),contains alcohol,,,,Diphedryl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diphen,Colds & Flu,7%,B(no risk in animal studies),contains alcohol,,,,Diphen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete allergy relief,Colds & Flu,6%,B(no risk in animal studies),contains alcohol,,,,Complete Allergy Relief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tylenol cold,Colds & Flu,6%,N,contains alcohol,2,1,,Tylenol Cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allermax,Colds & Flu,5%,B(no risk in animal studies),contains alcohol,,,,Allermax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bronkaid,Colds & Flu,5%,N,not contains alcohol,9.1,13,,Bronkaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dicopanol,Colds & Flu,5%,B(no risk in animal studies),contains alcohol,,,,Dicopanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dytuss,Colds & Flu,5%,B(no risk in animal studies),contains alcohol,,,,Dytuss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mucinex fast-max night time cold & flu,Colds & Flu,5%,C(risk cannot be ruled out),contains alcohol,5,1,,Mucinex Fast-Max Night Time Cold & Flu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scot-tussin allergy,Colds & Flu,5%,B(no risk in animal studies),contains alcohol,,,,Scot-Tussin Allergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siladryl allergy,Colds & Flu,5%,B(no risk in animal studies),contains alcohol,,,,Siladryl Allergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sudafed pe sinus & allergy,Colds & Flu,5%,N,contains alcohol,,,,Sudafed PE Sinus & Allergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twilite,Colds & Flu,5%,B(no risk in animal studies),contains alcohol,,,,Twilite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tylenol cold multi-symptom severe,Colds & Flu,5%,N,contains alcohol,,,,Tylenol Cold Multi-Symptom Severe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
valu-dryl,Colds & Flu,5%,B(no risk in animal studies),contains alcohol,,,,Valu-Dryl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vanamine pd,Colds & Flu,5%,B(no risk in animal studies),contains alcohol,,,,Vanamine PD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
virtussin dac,Colds & Flu,5%,C(risk cannot be ruled out),contains alcohol,,,,Virtussin DAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benadryl allergy plus sinus headache,Colds & Flu,4%,C(risk cannot be ruled out),contains alcohol,,,,Benadryl Allergy Plus Sinus Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
primatene,Colds & Flu,4%,N,not contains alcohol,9.4,5,,Primatene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acetaminophen / dextromethorphan / doxylamine / pseudoephedrine,Colds & Flu,3%,N,contains alcohol,8.2,5,,acetaminophen / dextromethorphan / doxylamine / pseudoephedrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acetaminophen / dextromethorphan / guaifenesin / phenylephrine,Colds & Flu,3%,N,contains alcohol,10,1,,acetaminophen / dextromethorphan / guaifenesin / phenylephrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acetaminophen / dextromethorphan / phenylephrine,Colds & Flu,3%,N,contains alcohol,3,1,,acetaminophen / dextromethorphan / phenylephrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aller-chlor,Colds & Flu,3%,B(no risk in animal studies),contains alcohol,,,,Aller-Chlor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allergy relief,Colds & Flu,3%,B(no risk in animal studies),contains alcohol,,,,Allergy Relief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brompheniramine,Colds & Flu,3%,C(risk cannot be ruled out),contains alcohol,10,2,,brompheniramine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mucinex fast-max severe cold,Colds & Flu,3%,N,contains alcohol,,,,Mucinex Fast-Max Severe Cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mucinex fast-max severe congestion & cold,Colds & Flu,3%,N,contains alcohol,,,,Mucinex Fast-Max Severe Congestion & Cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sudafed pe pressure+pain+cold,Colds & Flu,3%,N,contains alcohol,,,,Sudafed PE Pressure+Pain+Cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sudafed pe severe cold,Colds & Flu,3%,C(risk cannot be ruled out),contains alcohol,5,2,,Sudafed PE Severe Cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tylenol cold max day,Colds & Flu,3%,N,contains alcohol,,,,Tylenol Cold Max Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vicks nyquil cold & flu nighttime relief (alcohol free),Colds & Flu,3%,N,contains alcohol,,,,Vicks NyQuil Cold & Flu Nighttime Relief (Alcohol Free),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wal-finate,Colds & Flu,3%,B(no risk in animal studies),contains alcohol,,,,Wal-finate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acetaminophen / chlorpheniramine / dextromethorphan / pseudoephedrine,Colds & Flu,2%,N,contains alcohol,2,1,,acetaminophen / chlorpheniramine / dextromethorphan / pseudoephedrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acetaminophen / chlorpheniramine,Colds & Flu,2%,N,contains alcohol,5.6,9,,acetaminophen / chlorpheniramine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actifed cold and allergy,Colds & Flu,2%,N,contains alcohol,,,,Actifed Cold and Allergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
advil allergy sinus,Colds & Flu,2%,D(evidence of risk),contains alcohol,,,,Advil Allergy Sinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alka-seltzer plus cold formula sparkling original effervescent tablets,Colds & Flu,2%,N,contains alcohol,,,,Alka-Seltzer Plus Cold Formula Sparkling Original Effervescent Tablets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aprodine,Colds & Flu,2%,C(risk cannot be ruled out),contains alcohol,,,,Aprodine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aspirin / chlorpheniramine / phenylephrine,Colds & Flu,2%,N,contains alcohol,,,,aspirin / chlorpheniramine / phenylephrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c.p.m.,Colds & Flu,2%,B(no risk in animal studies),contains alcohol,,,,C.P.M.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camphor / eucalyptus / menthol,Colds & Flu,2%,N,not contains alcohol,,,,camphor / eucalyptus / menthol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheratussin dac,Colds & Flu,2%,C(risk cannot be ruled out),contains alcohol,2,1,,Cheratussin DAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chlo-amine,Colds & Flu,2%,B(no risk in animal studies),contains alcohol,,,,Chlo-Amine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chlor-mal,Colds & Flu,2%,B(no risk in animal studies),contains alcohol,,,,Chlor-Mal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chlorpheniramine / hydrocodone,Colds & Flu,2%,C(risk cannot be ruled out),contains alcohol,7.9,16,,chlorpheniramine / hydrocodone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chlorpheniramine / phenylephrine,Colds & Flu,2%,N,contains alcohol,9,7,,chlorpheniramine / phenylephrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chlortan,Colds & Flu,2%,B(no risk in animal studies),contains alcohol,,,,ChlorTan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
codeine / guaifenesin / pseudoephedrine,Colds & Flu,2%,C(risk cannot be ruled out),contains alcohol,2,1,,codeine / guaifenesin / pseudoephedrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coricidin hbp nighttime multi-symptom cold,Colds & Flu,2%,N,contains alcohol,,,,Coricidin HBP Nighttime Multi-Symptom Cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dextromethorphan / promethazine,Colds & Flu,2%,C(risk cannot be ruled out),contains alcohol,10,1,,dextromethorphan / promethazine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diphenhydramine / phenylephrine,Colds & Flu,2%,C(risk cannot be ruled out),contains alcohol,,,,diphenhydramine / phenylephrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drixoral cold and allergy,Colds & Flu,2%,C(risk cannot be ruled out),contains alcohol,10,9,,Drixoral Cold and Allergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed-chlortan,Colds & Flu,2%,B(no risk in animal studies),contains alcohol,,,,Ed-Chlortan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed a-hist,Colds & Flu,2%,N,contains alcohol,10,1,,Ed A-Hist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed chlorped,Colds & Flu,2%,B(no risk in animal studies),contains alcohol,,,,Ed ChlorPed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed chlor ped jr.,Colds & Flu,2%,B(no risk in animal studies),contains alcohol,,,,Ed Chlor Ped Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ephedrine / guaifenesin,Colds & Flu,2%,N,not contains alcohol,9.2,21,,ephedrine / guaifenesin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robitussin peak cold nighttime nasal relief,Colds & Flu,2%,N,contains alcohol,,,,Robitussin Peak Cold Nighttime Nasal Relief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
theraflu daytime severe cold & cough,Colds & Flu,2%,N,contains alcohol,,,,Theraflu Daytime Severe Cold & Cough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tussicaps,Colds & Flu,2%,C(risk cannot be ruled out),contains alcohol,,,,TussiCaps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tylenol cold multi-symptom nighttime,Colds & Flu,2%,N,contains alcohol,,,,Tylenol Cold Multi-Symptom Nighttime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-phedrin,Colds & Flu,1%,C(risk cannot be ruled out),contains alcohol,,,,A-Phedrin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acetaminophen / chlorpheniramine / dextromethorphan / phenylephrine,Colds & Flu,1%,N,contains alcohol,,,,acetaminophen / chlorpheniramine / dextromethorphan / phenylephrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acetaminophen / dextromethorphan / doxylamine / phenylephrine,Colds & Flu,1%,N,contains alcohol,,,,acetaminophen / dextromethorphan / doxylamine / phenylephrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acetaminophen / dextromethorphan / doxylamine,Colds & Flu,1%,N,contains alcohol,4,1,,acetaminophen / dextromethorphan / doxylamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acetaminophen / dextromethorphan / guaifenesin / pseudoephedrine,Colds & Flu,1%,N,contains alcohol,10,1,,acetaminophen / dextromethorphan / guaifenesin / pseudoephedrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acetaminophen / dextromethorphan / pseudoephedrine,Colds & Flu,1%,N,contains alcohol,8,1,,acetaminophen / dextromethorphan / pseudoephedrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acetaminophen / diphenhydramine / phenylephrine,Colds & Flu,1%,C(risk cannot be ruled out),contains alcohol,5.2,5,,acetaminophen / diphenhydramine / phenylephrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acetaminophen / pheniramine / phenylephrine,Colds & Flu,1%,N,contains alcohol,,,,acetaminophen / pheniramine / phenylephrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
advil congestion relief,Colds & Flu,1%,D(evidence of risk),contains alcohol,,,,Advil Congestion Relief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
advil sinus congestion & pain,Colds & Flu,1%,D(evidence of risk),contains alcohol,,,,Advil Sinus Congestion & Pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ala-hist pe,Colds & Flu,1%,C(risk cannot be ruled out),contains alcohol,,,,Ala-Hist PE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alka-seltzer plus-d multi-symptom sinus & cold liquid gels,Colds & Flu,1%,N,contains alcohol,,,,Alka-Seltzer Plus-D Multi-Symptom Sinus & Cold Liquid Gels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allergy multi-symptom,Colds & Flu,1%,N,contains alcohol,,,,Allergy Multi-Symptom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biotussin dac,Colds & Flu,1%,C(risk cannot be ruled out),contains alcohol,,,,Biotussin DAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bromatan plus,Colds & Flu,1%,C(risk cannot be ruled out),contains alcohol,,,,Bromatan Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bromax,Colds & Flu,1%,C(risk cannot be ruled out),contains alcohol,,,,Bromax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camphor,Colds & Flu,1%,C(risk cannot be ruled out),not contains alcohol,,,,camphor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capron dm,Colds & Flu,1%,N,contains alcohol,,,,Capron DM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
children's triacting night time,Colds & Flu,1%,C(risk cannot be ruled out),contains alcohol,,,,Children's Triacting Night Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
childrens tylenol cold plus cough,Colds & Flu,1%,N,contains alcohol,,,,Childrens Tylenol Cold Plus Cough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chlo hist,Colds & Flu,1%,C(risk cannot be ruled out),contains alcohol,,,,Chlo Hist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chlophedianol / pyrilamine,Colds & Flu,1%,C(risk cannot be ruled out),contains alcohol,0,1,,chlophedianol / pyrilamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chlorpheniramine / ibuprofen / pseudoephedrine,Colds & Flu,1%,D(evidence of risk),contains alcohol,,,,chlorpheniramine / ibuprofen / pseudoephedrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chlorpheniramine / phenylephrine / pyrilamine,Colds & Flu,1%,C(risk cannot be ruled out),contains alcohol,,,,chlorpheniramine / phenylephrine / pyrilamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold multi-symptom (nighttime),Colds & Flu,1%,N,contains alcohol,,,,Cold Multi-Symptom (Nighttime),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comtrex cold and cough maximum strength,Colds & Flu,1%,N,contains alcohol,,,,Comtrex Cold and Cough Maximum Strength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comtrex cold and flu maximum strength tablet,Colds & Flu,1%,N,contains alcohol,,,,Comtrex Cold and Flu Maximum Strength Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contac cold + flu (night formula),Colds & Flu,1%,N,contains alcohol,,,,Contac Cold + Flu (Night Formula),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delsym cough+ cold day time,Colds & Flu,1%,N,contains alcohol,,,,Delsym Cough+ Cold Day Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delsym cough+ cold night time,Colds & Flu,1%,C(risk cannot be ruled out),contains alcohol,,,,Delsym Cough+ Cold Night Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deltuss dmx,Colds & Flu,1%,C(risk cannot be ruled out),contains alcohol,,,,Deltuss DMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dexbrompheniramine / pseudoephedrine,Colds & Flu,1%,C(risk cannot be ruled out),contains alcohol,10,11,,dexbrompheniramine / pseudoephedrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dextromethorphan / phenylephrine / pyrilamine,Colds & Flu,1%,C(risk cannot be ruled out),contains alcohol,10,2,,dextromethorphan / phenylephrine / pyrilamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
